fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,G,911,G,3764,G,16065,127,85,20,11,6,5,N,N,N,N,N,N,N,N,6,1
72,1,23----,J,67,J,631,H,3037,10,8,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236///,G,7,J,11,G,338,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,2361//,G,0,G,0,H,287,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,23611/,G,0,G,0,H,287,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236118,G,0,G,0,H,84,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,238///,J,60,J,620,J,2699,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,2382//,J,60,J,620,J,2699,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31----,G,173,G,483,G,2641,9,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311///,J,16,H,27,H,107,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,3118//,J,14,H,23,G,92,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31181/,J,14,H,23,G,92,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311811,J,14,H,23,G,92,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44----,G,201,G,721,G,2836,37,26,5,5,N,N,N,N,N,N,N,N,N,N,6,1
72,1,442///,J,11,H,38,G,163,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4421//,J,11,H,38,G,163,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44211/,J,11,H,38,G,163,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,442110,J,11,H,38,G,163,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444///,H,34,H,122,G,351,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4441//,G,33,H,118,G,336,6,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44413/,G,31,G,111,G,309,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444130,G,31,G,111,G,309,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,445///,J,64,J,235,J,964,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4451//,J,53,J,202,J,836,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44511/,J,53,J,202,J,836,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,445110,J,53,J,202,J,836,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,446///,H,35,G,156,G,673,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4461//,H,35,G,156,G,673,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44611/,H,35,G,156,G,673,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,446110,H,35,G,156,G,673,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,447///,J,10,G,35,G,141,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4471//,J,10,G,35,G,141,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,448///,G,22,G,55,G,220,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,48----,J,21,G,50,G,177,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,485///,J,20,G,48,H,168,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4854//,J,20,G,48,H,168,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,48541/,J,20,G,48,H,168,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,485410,J,20,G,48,H,168,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,53----,G,18,G,60,G,263,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,531///,G,18,G,60,G,252,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,54----,J,21,G,107,G,414,10,10,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,541///,J,21,G,107,G,414,10,10,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,5411//,G,5,G,17,G,64,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,5413//,J,11,H,69,H,263,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,61----,G,59,G,149,H,556,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,611///,G,59,G,149,H,556,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6111//,G,59,G,149,H,556,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,61111/,G,59,G,149,H,556,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,611110,G,59,G,149,H,556,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62----,H,162,G,851,G,3601,19,8,7,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,621///,H,130,G,733,G,3126,16,8,6,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6211//,J,21,H,87,J,362,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62111/,J,21,H,87,J,362,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,621111,J,21,H,87,J,362,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6215//,J,14,G,78,G,326,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62151/,J,14,G,78,G,326,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,72----,G,77,G,174,G,754,17,12,4,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722///,H,70,H,149,G,650,15,10,4,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,7225//,H,69,G,148,G,643,14,9,4,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,72251/,H,69,G,148,G,643,14,9,4,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722511,J,5,J,10,G,104,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722513,G,59,G,128,G,491,9,4,4,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,81----,H,26,H,278,H,881,9,8,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,813///,G,25,H,273,H,868,8,7,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,8131//,J,11,J,35,G,132,6,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,81311/,J,11,J,35,G,132,6,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,813110,J,11,J,35,G,132,6,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,3,------,G,2700,G,9414,G,40577,479,348,70,39,15,6,N,N,N,N,N,N,N,N,6,3
72,3,23----,G,252,G,991,G,4737,29,23,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236///,G,223,G,851,G,4075,23,18,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2361//,G,218,G,836,G,3869,16,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,23611/,G,218,G,836,G,3869,16,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236115,J,119,H,444,J,2114,9,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236118,H,99,J,392,J,1755,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2362//,G,5,J,15,G,206,7,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,23622/,G,5,J,15,G,206,7,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236220,G,5,J,15,G,206,7,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,238///,J,6,H,23,H,159,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2383//,J,5,J,21,H,134,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,31----,G,172,G,630,G,2740,33,22,7,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311///,H,85,J,262,J,1110,14,10,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,3118//,H,85,J,262,J,1110,14,10,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,31181/,H,85,J,262,J,1110,14,10,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311811,H,38,G,87,G,354,10,7,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311812,J,47,J,175,J,756,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,332///,G,26,G,101,G,441,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,3323//,G,25,G,100,G,438,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,33232/,G,25,G,100,G,438,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,337///,J,8,J,29,H,121,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,3371//,J,8,J,29,H,121,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,33711/,J,8,J,29,H,121,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,337110,J,8,J,29,H,121,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,42----,J,60,H,251,H,1181,13,9,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,423///,J,43,J,175,J,802,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4237//,J,9,J,26,J,90,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,424///,J,17,G,76,G,379,8,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4244//,J,11,J,46,H,245,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4249//,J,5,H,24,H,107,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44----,G,875,G,3013,G,12557,149,104,22,18,N,3,N,N,N,N,N,N,N,N,6,3
72,3,441///,H,108,G,444,G,1716,39,35,N,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4411//,G,30,G,133,G,595,18,18,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44111/,G,10,H,59,H,251,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441110,G,10,H,59,H,251,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44112/,G,20,H,74,G,344,13,13,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441120,G,20,H,74,G,344,13,13,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4413//,J,75,G,305,G,1099,20,16,N,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44131/,J,39,H,193,G,629,12,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441310,J,39,H,193,G,629,12,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44132/,J,36,J,112,J,470,8,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441320,J,36,J,112,J,470,8,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444///,H,78,G,263,G,1085,18,12,4,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4441//,H,78,G,263,G,1085,18,12,4,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44413/,H,64,G,216,G,768,11,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444130,H,64,G,216,G,768,11,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44419/,G,9,H,28,H,226,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444190,G,9,H,28,H,226,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,445///,G,292,G,823,G,3505,16,10,N,N,N,3,N,N,N,N,N,N,N,N,6,3
72,3,4451//,G,271,G,783,G,3323,12,7,N,N,N,3,N,N,N,N,N,N,N,N,6,3
72,3,44511/,G,265,G,774,G,3274,9,4,N,N,N,3,N,N,N,N,N,N,N,N,6,3
72,3,445110,G,265,G,774,G,3274,9,4,N,N,N,3,N,N,N,N,N,N,N,N,6,3
72,3,44512/,J,6,G,9,H,49,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,445120,J,6,G,9,H,49,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4452//,J,21,J,40,J,182,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44529/,J,21,J,40,J,182,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,445291,J,16,J,34,J,151,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,446///,G,188,G,856,G,3594,23,7,7,9,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4461//,G,188,G,856,G,3594,23,7,7,9,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44611/,G,167,G,793,G,3307,17,3,5,9,N,N,N,N,N,N,N,N,N,N,6,3
72,3,446110,G,167,G,793,G,3307,17,3,5,9,N,N,N,N,N,N,N,N,N,N,6,3
72,3,447///,J,48,G,95,G,419,13,9,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4471//,J,48,G,95,G,419,13,9,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44711/,J,47,G,92,G,406,12,8,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,447110,J,47,G,92,G,406,12,8,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,448///,J,37,J,84,H,409,15,14,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4481//,J,27,G,52,H,262,9,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44812/,J,5,J,9,H,57,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,448120,J,5,J,9,H,57,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44814/,J,19,H,38,H,187,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,448140,J,19,H,38,H,187,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4482//,J,6,J,18,J,83,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44821/,J,6,J,18,J,83,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,448210,J,6,J,18,J,83,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4483//,J,4,J,14,H,64,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44831/,J,4,J,14,H,64,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,448310,J,4,J,14,H,64,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,451///,J,15,G,42,G,202,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4511//,J,14,G,41,G,199,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,453///,H,52,H,138,H,481,9,5,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4532//,J,25,J,68,J,135,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4539//,H,27,H,70,G,346,6,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,45399/,H,27,H,70,G,346,6,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,453998,H,27,H,70,G,346,6,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,454///,J,35,J,200,J,864,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,48----,J,62,J,162,J,698,7,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,484///,J,15,J,72,J,304,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4841//,J,15,J,72,J,304,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,48411/,J,15,J,72,J,304,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,484110,J,15,J,72,J,304,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,51----,J,4,G,12,H,50,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,52----,H,138,H,763,H,3169,10,5,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,522///,H,117,H,675,H,2791,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5221//,H,112,H,636,H,2610,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,524///,J,21,J,88,G,378,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5242//,J,21,J,88,G,378,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,52421/,J,21,J,88,G,378,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,524210,J,21,J,88,G,378,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,53----,G,15,H,48,G,209,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,54----,J,84,H,444,H,1769,35,32,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,541///,J,84,H,444,H,1769,35,32,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5411//,J,14,H,30,J,134,9,9,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,54111/,J,14,H,30,J,134,9,9,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,541110,J,14,H,30,J,134,9,9,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5412//,H,27,H,93,H,318,12,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,54121/,H,27,H,93,H,318,12,11,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,541211,G,21,H,81,H,281,9,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,541219,J,6,G,12,H,37,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5413//,G,12,H,49,H,209,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,54138/,J,9,G,31,G,123,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,541380,J,9,G,31,G,123,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5416//,H,22,J,212,H,848,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,54161/,J,21,J,203,J,804,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,56----,J,215,J,523,H,2018,11,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,561///,J,215,J,523,H,2018,11,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5616//,J,193,J,438,J,1659,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,5617//,J,15,J,40,H,185,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,61----,J,59,H,166,H,644,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,611///,J,59,H,166,H,644,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6115//,H,25,G,63,G,264,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,61151/,H,25,G,63,G,264,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62----,G,302,G,1230,G,5506,71,56,8,4,3,N,N,N,N,N,N,N,N,N,6,3
72,3,621///,G,223,G,959,G,4250,60,49,7,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6211//,G,105,G,405,G,1812,33,29,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62111/,G,105,G,405,G,1812,33,29,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,621111,G,101,G,393,G,1763,31,27,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6212//,G,29,G,107,H,519,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62121/,G,29,G,107,H,519,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,621210,G,29,G,107,H,519,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6213//,J,44,J,179,H,975,12,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62132/,J,13,J,77,J,393,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,621320,J,13,J,77,J,393,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62134/,J,20,G,56,H,365,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,621340,J,20,G,56,H,365,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6215//,J,18,H,111,H,474,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62151/,J,18,H,111,H,474,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,621511,J,15,H,89,H,387,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,623///,G,32,H,164,H,745,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6233//,J,10,J,20,J,93,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,62331/,J,10,J,20,J,93,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,623312,J,10,J,20,J,93,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,624///,G,47,H,107,H,511,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,6241//,H,45,H,104,H,502,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,71----,G,8,J,16,G,72,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,72----,G,362,G,852,G,3790,68,45,12,6,5,N,N,N,N,N,N,N,N,N,6,3
72,3,722///,G,359,G,848,G,3781,67,44,12,6,5,N,N,N,N,N,N,N,N,N,6,3
72,3,7223//,G,2,G,3,J,10,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,7224//,G,2,G,5,H,29,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,72241/,G,2,G,5,H,29,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,722410,G,2,G,5,H,29,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,7225//,G,355,G,840,G,3742,60,37,12,6,5,N,N,N,N,N,N,N,N,N,6,3
72,3,72251/,G,355,G,840,G,3742,60,37,12,6,5,N,N,N,N,N,N,N,N,N,6,3
72,3,722511,G,102,G,241,G,1220,24,15,6,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,722513,G,191,G,468,G,1895,22,11,4,3,4,N,N,N,N,N,N,N,N,N,6,3
72,3,722514,H,28,G,49,G,191,11,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,722515,J,34,J,82,J,436,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81----,H,91,G,311,G,1348,33,26,6,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,811///,H,47,H,137,H,581,15,11,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,8111//,H,32,G,73,G,307,11,8,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81111/,J,17,H,34,H,152,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,811111,J,14,J,23,J,108,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81112/,J,5,G,15,G,58,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,811121,J,5,G,15,G,58,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81119/,J,10,H,24,G,97,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,812///,J,21,G,66,H,264,9,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,8122//,J,12,H,50,J,178,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,8123//,J,6,J,9,J,41,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81232/,J,6,J,9,J,31,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,812320,J,6,J,9,J,31,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,813///,J,23,G,108,G,503,9,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,8131//,J,11,G,38,G,144,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81311/,J,11,G,38,G,144,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,813110,J,11,G,38,G,144,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,8139//,J,9,H,62,H,313,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,81399/,J,2,J,13,J,60,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,813990,J,2,J,13,J,60,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,99----,G,0,G,0,G,80,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,5,------,G,13158,G,86224,G,368800,811,436,165,101,69,17,15,4,4,N,N,N,N,N,6,5
72,5,23----,H,79,G,379,G,1747,13,7,4,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,236///,H,30,H,140,H,667,7,4,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,2361//,H,28,H,128,H,626,6,3,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,23611/,H,28,H,128,H,626,6,3,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,236115,J,11,H,33,H,115,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,236118,G,17,H,95,H,511,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,238///,J,49,H,239,H,1080,6,3,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,2382//,J,47,H,231,H,1047,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,23821/,J,47,H,231,H,1047,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,238210,J,47,H,231,H,1047,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,31----,G,1189,H,10935,H,39480,35,19,6,3,3,N,N,N,N,N,N,N,N,N,6,5
72,5,311///,J,290,J,1974,J,8166,14,8,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,3118//,H,59,H,132,H,527,12,8,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,31181/,H,59,H,132,H,527,12,8,3,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,311811,H,48,J,102,H,410,8,5,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,311812,G,11,H,30,J,117,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,332///,J,53,J,173,J,673,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,333///,J,62,J,227,J,979,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,3334//,J,58,J,202,J,863,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,33341/,J,58,J,202,J,863,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,333415,J,58,J,202,J,863,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
72,5,339///,H,142,H,1132,H,4508,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,5
